abell_num,ra,dec
781,140.1,30.43333333
782,140.5,51.96666667
783,140.8,61.23333333
784,140.625,54.96666667
785,141.05,59.46666667
786,142.2,74.8
787,142.15,74.4
788,142.025,72.3
789,141.325,61.01666667
790,140.275,-13.63333333
791,140.575,12.41666667
792,141.25,42.8
793,141.4,50.3
794,140.95,8.65
795,141,14.16666667
796,142,60.4
797,141.65,17.66666667
798,144.9,80.95
799,142.575,58.75
0,0,0
800,142.125,37.8
801,142,20.56666667
802,143.35,67.05
803,142.3,12.13333333
804,143.2,62.56666667
805,142.25,4.116666667
806,143.05,56.03333333
807,142.25,-6.433333333
808,142.55,7.7
809,144.75,77.28333333
810,142.675,-2.15
811,144.975,77.51666667
812,143.15,37.9
813,142.625,-14.55
814,144.8,75.91666667
815,143.075,29.06666667
816,142.75,-13.38333333
817,143.05,17.36666667
818,144.725,73.96666667
819,143.075,9.666666667
820,143.45,-2.916666667
821,143.5,-4.683333333
822,143.425,-13.41666667
823,143.3,-25.85
824,143.825,23.91666667
825,144.7,65.41666667
826,144.325,53.51666667
827,143.65,-2.95
828,143.9,12.2
829,144.725,62.13333333
830,143.875,7.516666667
831,143.8,-3.033333333
832,144,15.86666667
833,144.05,10.86666667
834,145.175,66.66666667
835,144.35,12.85
836,146.625,78.43333333
837,144.375,8.516666667
838,144.275,-5.016666667
839,147.15,79.88333333
840,146.9,78.7
841,144.65,-4.2
842,144.55,-20.93333333
843,145.475,56.56666667
844,145.025,-0.95
845,146.025,64.4
846,145.275,22.48333333
847,145.1,2.45
848,146.9,74.86666667
849,145.35,21.35
850,145.275,12.56666667
851,145.7,47
852,145.5,29.41666667
853,145.55,15.38333333
854,145.525,8.933333333
855,145.375,-9.283333333
856,146.35,56.55
857,145.525,-22.61666667
858,145.85,5.883333333
859,145.925,8.85
860,145.9,2.1
861,145.9,0.05
862,146.125,9.566666667
863,145.975,-12.61666667
864,147.5,71.2
865,146.675,43.48333333
866,147,58.13333333
867,146.3,0.533333333
868,146.375,-8.65
869,146.55,2.35
870,146.7,9.6
871,147.8,65.78333333
872,148.875,77.26666667
873,148.175,71.3
874,147.65,58.03333333
875,148.425,70.93333333
876,147.475,29.28333333
877,148.975,75.38333333
878,147.425,5.766666667
879,147.675,28.86666667
880,147.425,-4.166666667
881,149,71.71666667
882,147.825,8.25
883,147.825,5.5
884,147.875,4.733333333
885,148.7,62.48333333
886,148.575,57.9
887,148.425,40.35
888,149.95,76.95
889,148.375,22.78333333
890,148.25,-4.833333333
891,148.575,28.41666667
892,148.4,0.566666667
893,148.925,35.98333333
894,148.975,36.16666667
895,149.175,49.5
896,149.125,41.01666667
897,149.075,28.2
898,149.425,49.26666667
899,149.575,55.28333333
900,149.15,18.6
901,149.05,-9.933333333
902,149.125,-10.16666667
903,149.45,19.63333333
904,150.025,60.08333333
905,150.1,57
906,150.4,65.38333333
907,149.6,-11.05
908,149.9,22.41666667
909,151.3,74.81666667
